"","Year","Data.Value"
"1027",2015,341
"1028",2015,326
"1029",2015,335
"1030",2015,331
"1031",2015,344
"1032",2015,351
"1033",2015,347
"1034",2015,340
"1035",2015,328
"1036",2016,323
"1037",2016,330
"1038",2016,329
"1039",2016,332
"1040",2016,344
"1041",2016,333
"1042",2016,330
"1043",2016,317
"1044",2016,310
"1045",2016,303
"1046",2016,306
"1047",2016,306
"1048",2017,309
"1049",2017,315
"1050",2017,311
"1051",2017,309
"1052",2017,307
"1053",2017,308
"1054",2017,309
"1055",2017,313
"1056",2017,311
"1057",2015,32
"1058",2015,29
"1059",2015,29
"1060",2015,32
"1061",2015,31
"1062",2015,34
"1063",2015,35
"1064",2015,36
"1065",2015,36
"1066",2015,38
"1067",2015,33
"1068",2015,33
"1069",2016,32
"1070",2016,37
"1071",2016,40
"1072",2016,39
"1073",2016,41
"1074",2016,39
"1075",2016,37
"1076",2016,39
"1077",2016,40
"1078",2016,40
"1079",2016,43
"1080",2016,41
"1081",2017,42
"1082",2017,42
"1083",2017,42
"1084",2017,49
"1085",2017,56
"1086",2017,64
"1087",2017,74
"1088",2017,77
"1089",2017,78
"1090",2015,80
"1091",2015,81
"1092",2015,82
"1093",2015,81
"1094",2015,89
"1095",2015,94
"1096",2015,98
"1097",2015,101
"1098",2015,107
"1099",2015,107
"1100",2015,107
"1101",2015,104
"1102",2016,104
"1103",2016,107
"1104",2016,110
"1105",2016,114
"1106",2016,107
"1107",2016,108
"1108",2016,105
"1109",2016,105
"1110",2016,99
"1111",2016,100
"1112",2016,98
"1113",2016,94
"1114",2017,90
"1115",2017,83
"1116",2017,82
"1117",2017,76
"1118",2017,72
"1119",2017,77
"1120",2017,71
"1121",2017,74
"1122",2017,76
"1123",2015,214
"1124",2015,218
"1125",2015,221
"1126",2015,221
"1127",2015,235
"1128",2015,251
"1129",2015,260
"1130",2015,264
"1131",2015,279
"1132",2015,272
"1133",2015,273
"1134",2015,268
"1135",2016,268
"1136",2016,264
"1137",2016,267
"1138",2016,278
"1139",2016,274
"1140",2016,279
"1141",2016,278
"1142",2016,283
"1143",2016,277
"1144",2016,282
"1145",2016,294
"1146",2016,297
"1147",2017,300
"1148",2017,296
"1149",2017,299
"1150",2017,290
"1151",2017,280
"1152",2017,280
"1153",2017,280
"1154",2017,281
"1155",2017,284
"1156",2015,90
"1157",2015,92
"1158",2015,88
"1159",2015,93
"1160",2015,103
"1161",2015,115
"1162",2015,128
"1163",2015,133
"1164",2015,139
"1165",2015,143
"1166",2015,145
"1167",2015,144
"1168",2016,137
"1169",2016,131
"1170",2016,136
"1171",2016,147
"1172",2016,152
"1173",2016,161
"1174",2016,165
"1175",2016,171
"1176",2016,173
"1177",2016,182
"1178",2016,196
"1179",2016,197
"1180",2017,206
"1181",2017,214
"1182",2017,220
"1183",2017,213
"1184",2017,205
"1185",2017,199
"1186",2017,200
"1187",2017,201
"1188",2017,208
"1189",2015,317
"1190",2015,320
"1191",2015,314
"1192",2015,317
"1193",2015,314
"1194",2015,312
"1195",2015,306
"1196",2015,314
"1197",2015,304
"1198",2015,319
"1199",2015,327
"1200",2015,321
"1201",2016,317
"1202",2016,317
"1203",2016,333
"1204",2016,337
"1205",2016,341
"1206",2016,350
"1207",2016,354
"1208",2016,346
"1209",2016,349
"1210",2016,338
"1211",2016,323
"1212",2016,341
"1213",2017,341
"1214",2017,349
"1215",2017,332
"1216",2017,335
"1217",2017,335
"1218",2017,331
"1219",2017,337
"1220",2017,337
"1221",2017,339
"1222",2015,508
"1223",2015,514
"1224",2015,526
"1225",2015,530
"1226",2015,540
"1227",2015,544
"1228",2015,533
"1229",2015,552
"1230",2015,542
"1231",2015,553
"1232",2015,549
"1233",2015,537
"1234",2016,534
"1235",2016,529
"1236",2016,538
"1237",2016,559
"1238",2016,566
"1239",2016,582
"1240",2016,599
"1241",2016,584
"1242",2016,586
"1243",2016,591
"1244",2016,581
"1245",2016,613
"1246",2017,635
"1247",2017,658
"1248",2017,644
"1249",2017,651
"1250",2017,676
"1251",2017,691
"1252",2017,693
"1253",2017,720
"1254",2017,735
"1255",2015,110
"1256",2015,122
"1257",2015,136
"1258",2015,141
"1259",2015,150
"1260",2015,158
"1261",2015,162
"1262",2015,169
"1263",2015,165
"1264",2015,168
"1265",2015,165
"1266",2015,153
"1267",2016,149
"1268",2016,146
"1269",2016,142
"1270",2016,151
"1271",2016,160
"1272",2016,170
"1273",2016,183
"1274",2016,184
"1275",2016,198
"1276",2016,211
"1277",2016,212
"1278",2016,234
"1279",2017,256
"1280",2017,265
"1281",2017,266
"1282",2017,272
"1283",2017,289
"1284",2017,309
"1285",2017,309
"1286",2017,344
"1287",2017,359
"1288",2015,12269
"1289",2015,12237
"1290",2015,12267
"1291",2015,12356
"1292",2015,12474
"1293",2015,12555
"1294",2015,12574
"1295",2015,12649
"1296",2015,12707
"1297",2015,12773
"1298",2015,12737
"1299",2015,12747
"1300",2016,12729
"1301",2016,12878
"1302",2016,13052
"1303",2016,13266
"1304",2016,13356
"1305",2016,13528
"1306",2016,13698
"1307",2016,13830
"1308",2016,13926
"1309",2016,14072
"1310",2016,14269
"1311",2016,14534
"1312",2017,14697
"1313",2017,14713
"1314",2017,14700
"1315",2017,14716
"1316",2017,14806
"1317",2017,14717
"1318",2017,14637
"1319",2017,14440
"1320",2017,14309
"1321",2015,28986
"1322",2015,29269
"1323",2015,29609
"1324",2015,30240
"1325",2015,30745
"1326",2015,31068
"1327",2015,31392
"1328",2015,31767
"1329",2015,32337
"1330",2015,32775
"1331",2015,33040
"1332",2015,33203
"1333",2016,33531
"1334",2016,34251
"1335",2016,35062
"1336",2016,35837
"1337",2016,36423
"1338",2016,37187
"1339",2016,38075
"1340",2016,38856
"1341",2016,39437
"1342",2016,40149
"1343",2016,41126
"1344",2016,42435
"1345",2017,43541
"1346",2017,43997
"1347",2017,44354
"1348",2017,44651
"1349",2017,45105
"1350",2017,45481
"1351",2017,45474
"1352",2017,45523
"1353",2017,45657
"1354",2015,5766
"1355",2015,6079
"1356",2015,6390
"1357",2015,6868
"1358",2015,7254
"1359",2015,7551
"1360",2015,7890
"1361",2015,8216
"1362",2015,8669
"1363",2015,9101
"1364",2015,9397
"1365",2015,9610
"1366",2016,9946
"1367",2016,10585
"1368",2016,11351
"1369",2016,12048
"1370",2016,12802
"1371",2016,13562
"1372",2016,14417
"1373",2016,15256
"1374",2016,16111
"1375",2016,17027
"1376",2016,18171
"1377",2016,19500
"1378",2017,20831
"1379",2017,21655
"1380",2017,22395
"1381",2017,23005
"1382",2017,23678
"1383",2017,24455
"1384",2017,24957
"1385",2017,25578
"1386",2017,26127
"1387",2015,375
"1388",2015,363
"1389",2015,361
"1390",2015,364
"1391",2015,356
"1392",2015,363
"1393",2015,363
"1394",2015,360
"1395",2015,364
"1396",2015,375
"1397",2015,369
"1398",2015,364
"1399",2016,381
"1400",2016,393
"1401",2016,399
"1402",2016,390
"1403",2016,389
"1404",2016,378
"1405",2016,374
"1406",2016,380
"1407",2016,365
"1408",2016,358
"1409",2016,353
"1410",2016,330
"1411",2017,317
"1412",2017,310
"1413",2017,295
"1414",2017,296
"1415",2017,285
"1416",2017,283
"1417",2017,290
"1418",2017,275
"1419",2017,277
"1420",2015,464
"1421",2015,445
"1422",2015,438
"1423",2015,442
"1424",2015,433
"1425",2015,433
"1426",2015,436
"1427",2015,435
"1428",2015,443
"1429",2015,457
"1430",2015,456
"1431",2015,451
"1432",2016,473
"1433",2016,490
"1434",2016,505
"1435",2016,501
"1436",2016,509
"1437",2016,512
"1438",2016,514
"1439",2016,521
"1440",2016,506
"1441",2016,503
"1442",2016,496
"1443",2016,475
"1444",2017,465
"1445",2017,466
"1446",2017,448
"1447",2017,448
"1448",2017,435
"1449",2017,433
"1450",2017,435
"1451",2017,426
"1452",2017,428
"1453",2015,68
"1454",2015,62
"1455",2015,58
"1456",2015,62
"1457",2015,66
"1458",2015,63
"1459",2015,62
"1460",2015,61
"1461",2015,67
"1462",2015,70
"1463",2015,67
"1464",2015,63
"1465",2016,72
"1466",2016,78
"1467",2016,79
"1468",2016,76
"1469",2016,78
"1470",2016,89
"1471",2016,88
"1472",2016,88
"1473",2016,85
"1474",2016,80
"1475",2016,80
"1476",2016,77
"1477",2017,77
"1478",2017,77
"1479",2017,81
"1480",2017,81
"1481",2017,79
"1482",2017,74
"1483",2017,75
"1484",2017,78
"1485",2017,76
"1486",2015,320
"1487",2015,315
"1488",2015,314
"1489",2015,292
"1490",2015,286
"1491",2015,276
"1492",2015,272
"1493",2015,285
"1494",2015,280
"1495",2015,277
"1496",2015,273
"1497",2015,274
"1498",2016,271
"1499",2016,282
"1500",2016,290
"1501",2016,298
"1502",2016,312
"1503",2016,319
"1504",2016,321
"1505",2016,317
"1506",2016,330
"1507",2016,340
"1508",2016,345
"1509",2016,342
"1510",2017,346
"1511",2017,349
"1512",2017,343
"1513",2017,352
"1514",2017,346
"1515",2017,339
"1516",2017,347
"1517",2017,345
"1518",2017,337
"1519",2015,748
"1520",2015,763
"1521",2015,754
"1522",2015,751
"1523",2015,760
"1524",2015,771
"1525",2015,767
"1526",2015,780
"1527",2015,793
"1528",2015,812
"1529",2015,794
"1530",2015,802
"1531",2016,804
"1532",2016,855
"1533",2016,902
"1534",2016,926
"1535",2016,951
"1536",2016,976
"1537",2016,994
"1538",2016,1009
"1539",2016,1028
"1540",2016,1056
"1541",2016,1097
"1542",2016,1117
"1543",2017,1148
"1544",2017,1151
"1545",2017,1140
"1546",2017,1145
"1547",2017,1145
"1548",2017,1149
"1549",2017,1168
"1550",2017,1187
"1551",2017,1182
"1552",2015,182
"1553",2015,192
"1554",2015,191
"1555",2015,198
"1556",2015,206
"1557",2015,217
"1558",2015,214
"1559",2015,209
"1560",2015,230
"1561",2015,253
"1562",2015,256
"1563",2015,261
"1564",2016,263
"1565",2016,309
"1566",2016,355
"1567",2016,390
"1568",2016,417
"1569",2016,447
"1570",2016,474
"1571",2016,514
"1572",2016,534
"1573",2016,562
"1574",2016,610
"1575",2016,650
"1576",2017,694
"1577",2017,703
"1578",2017,696
"1579",2017,691
"1580",2017,696
"1581",2017,711
"1582",2017,734
"1583",2017,755
"1584",2017,760
"1585",2015,18
"1586",2015,20
"1587",2015,22
"1588",2015,21
"1589",2015,21
"1590",2015,22
"1591",2015,24
"1592",2015,23
"1593",2015,24
"1594",2015,24
"1595",2015,25
"1596",2015,23
"1597",2016,24
"1598",2016,25
"1599",2016,23
"1600",2016,23
"1601",2016,24
"1602",2016,24
"1603",2016,23
"1604",2016,27
"1605",2016,25
"1606",2016,24
"1607",2016,23
"1608",2016,24
"1609",2017,22
"1610",2017,22
"1611",2017,26
"1612",2017,26
"1613",2017,24
"1614",2017,24
"1615",2017,27
"1616",2017,23
"1617",2017,23
"1618",2015,58
"1619",2015,58
"1620",2015,62
"1621",2015,66
"1622",2015,70
"1623",2015,72
"1624",2015,74
"1625",2015,80
"1626",2015,79
"1627",2015,76
"1628",2015,79
"1629",2015,77
"1630",2016,79
"1631",2016,83
"1632",2016,84
"1633",2016,84
"1634",2016,83
"1635",2016,84
"1636",2016,87
"1637",2016,91
"1638",2016,94
"1639",2016,102
"1640",2016,100
"1641",2016,107
"1642",2017,109
"1643",2017,110
"1644",2017,114
"1645",2017,114
"1646",2017,111
"1647",2017,111
"1648",2017,115
"1649",2017,108
"1650",2017,105
"1651",2015,20
"1652",2015,20
"1653",2015,19
"1654",2015,23
"1655",2015,25
"1656",2015,27
"1657",2015,27
"1658",2015,33
"1659",2015,32
"1660",2015,32
"1661",2015,36
"1662",2015,33
"1663",2016,33
"1664",2016,34
"1665",2016,39
"1666",2016,36
"1667",2016,35
"1668",2016,36
"1669",2016,39
"1670",2016,39
"1671",2016,43
"1672",2016,47
"1673",2016,47
"1674",2016,56
"1675",2017,61
"1676",2017,63
"1677",2017,64
"1678",2017,67
"1679",2017,67
"1680",2017,68
"1681",2017,69
"1682",2017,68
"1683",2017,65
"1684",2015,291
"1685",2015,282
"1686",2015,280
"1687",2015,279
"1688",2015,281
"1689",2015,280
"1690",2015,273
"1691",2015,266
"1692",2015,264
"1693",2015,268
"1694",2015,267
"1695",2015,264
"1696",2016,272
"1697",2016,278
"1698",2016,281
"1699",2016,294
"1700",2016,281
"1701",2016,295
"1702",2016,302
"1703",2016,308
"1704",2016,300
"1705",2016,298
"1706",2016,288
"1707",2016,293
"1708",2017,282
"1709",2017,274
"1710",2017,277
"1711",2017,258
"1712",2017,258
"1713",2017,245
"1714",2017,233
"1715",2017,226
"1716",2017,232
"1717",2015,678
"1718",2015,674
"1719",2015,686
"1720",2015,683
"1721",2015,684
"1722",2015,691
"1723",2015,691
"1724",2015,694
"1725",2015,704
"1726",2015,705
"1727",2015,704
"1728",2015,702
"1729",2016,721
"1730",2016,722
"1731",2016,722
"1732",2016,751
"1733",2016,742
"1734",2016,750
"1735",2016,768
"1736",2016,766
"1737",2016,758
"1738",2016,748
"1739",2016,725
"1740",2016,721
"1741",2017,706
"1742",2017,702
"1743",2017,715
"1744",2017,682
"1745",2017,682
"1746",2017,668
"1747",2017,647
"1748",2017,641
"1749",2017,653
"1750",2015,67
"1751",2015,68
"1752",2015,67
"1753",2015,68
"1754",2015,68
"1755",2015,68
"1756",2015,74
"1757",2015,74
"1758",2015,73
"1759",2015,70
"1760",2015,67
"1761",2015,65
"1762",2016,61
"1763",2016,59
"1764",2016,64
"1765",2016,68
"1766",2016,76
"1767",2016,77
"1768",2016,78
"1769",2016,88
"1770",2016,88
"1771",2016,89
"1772",2016,93
"1773",2016,94
"1774",2017,101
"1775",2017,104
"1776",2017,104
"1777",2017,104
"1778",2017,97
"1779",2017,102
"1780",2017,94
"1781",2017,88
"1782",2017,94
"1783",2015,374
"1784",2015,377
"1785",2015,387
"1786",2015,389
"1787",2015,386
"1788",2015,390
"1789",2015,375
"1790",2015,377
"1791",2015,374
"1792",2015,368
"1793",2015,361
"1794",2015,360
"1795",2016,356
"1796",2016,361
"1797",2016,357
"1798",2016,352
"1799",2016,348
"1800",2016,351
"1801",2016,350
"1802",2016,341
"1803",2016,345
"1804",2016,329
"1805",2016,325
"1806",2016,325
"1807",2017,325
"1808",2017,319
"1809",2017,310
"1810",2017,313
"1811",2017,317
"1812",2017,312
"1813",2017,312
"1814",2017,302
"1815",2017,287
"1816",2015,580
"1817",2015,585
"1818",2015,599
"1819",2015,615
"1820",2015,609
"1821",2015,614
"1822",2015,611
"1823",2015,609
"1824",2015,612
"1825",2015,637
"1826",2015,634
"1827",2015,636
"1828",2016,631
"1829",2016,653
"1830",2016,658
"1831",2016,653
"1832",2016,662
"1833",2016,682
"1834",2016,691
"1835",2016,696
"1836",2016,709
"1837",2016,689
"1838",2016,714
"1839",2016,734
"1840",2017,761
"1841",2017,776
"1842",2017,787
"1843",2017,811
"1844",2017,824
"1845",2017,824
"1846",2017,843
"1847",2017,842
"1848",2017,822
"1849",2015,128
"1850",2015,139
"1851",2015,143
"1852",2015,165
"1853",2015,164
"1854",2015,167
"1855",2015,176
"1856",2015,177
"1857",2015,187
"1858",2015,206
"1859",2015,210
"1860",2015,224
"1861",2016,230
"1862",2016,252
"1863",2016,263
"1864",2016,258
"1865",2016,273
"1866",2016,292
"1867",2016,311
"1868",2016,325
"1869",2016,349
"1870",2016,363
"1871",2016,398
"1872",2016,432
"1873",2017,475
"1874",2017,496
"1875",2017,520
"1876",2017,555
"1877",2017,575
"1878",2017,591
"1879",2017,602
"1880",2017,612
"1881",2017,604
"1882",2015,197
"1883",2015,202
"1884",2015,189
"1885",2015,176
"1886",2015,188
"1887",2015,186
"1888",2015,194
"1889",2015,208
"1890",2015,214
"1891",2015,223
"1892",2015,218
"1893",2015,223
"1894",2016,222
"1895",2016,227
"1896",2016,253
"1897",2016,278
"1898",2016,282
"1899",2016,298
"1900",2016,310
"1901",2016,302
"1902",2016,305
"1903",2016,305
"1904",2016,323
"1905",2016,324
"1906",2017,338
"1907",2017,336
"1908",2017,317
"1909",2017,312
"1910",2017,316
"1911",2017,315
"1912",2017,313
"1913",2017,313
"1914",2017,316
"1915",2015,596
"1916",2015,606
"1917",2015,587
"1918",2015,596
"1919",2015,601
"1920",2015,598
"1921",2015,615
"1922",2015,637
"1923",2015,667
"1924",2015,689
"1925",2015,710
"1926",2015,726
"1927",2016,741
"1928",2016,764
"1929",2016,815
"1930",2016,861
"1931",2016,891
"1932",2016,933
"1933",2016,983
"1934",2016,1014
"1935",2016,1038
"1936",2016,1069
"1937",2016,1097
"1938",2016,1136
"1939",2017,1190
"1940",2017,1198
"1941",2017,1171
"1942",2017,1174
"1943",2017,1194
"1944",2017,1214
"1945",2017,1203
"1946",2017,1196
"1947",2017,1208
"1948",2015,39
"1949",2015,38
"1950",2015,39
"1951",2015,43
"1952",2015,44
"1953",2015,48
"1954",2015,50
"1955",2015,61
"1956",2015,83
"1957",2015,109
"1958",2015,121
"1959",2015,136
"1960",2016,154
"1961",2016,194
"1962",2016,239
"1963",2016,280
"1964",2016,310
"1965",2016,343
"1966",2016,399
"1967",2016,441
"1968",2016,476
"1969",2016,492
"1970",2016,529
"1971",2016,579
"1972",2017,628
"1973",2017,638
"1974",2017,626
"1975",2017,639
"1976",2017,667
"1977",2017,702
"1978",2017,712
"1979",2017,722
"1980",2017,750
